account_id,country,solution,outcome,num_touches,full_path,simple_path,first_3_actions,actions_list
001E000001gWOz2IAG,US,MRS,Lost,3,Email → Inbound Call → Inbound Call,Email → Inbound Call → Inbound Call,Email → Inbound Call → Inbound Call,"Email,Inbound Call,Inbound Call"
001E000001gWOzLIAW,US,MRS,Ongoing,1,Inbound Call,Inbound Call,Inbound Call,Inbound Call
001E000001gWOziIAG,US,MRS,Won,11,Email → Email → Email → Email → Email → Email → Email → Meeting → Email → Email → Email,Email → Email → Email → Email → Email,Email → Email → Email,"Email,Email,Email,Email,Email,Email,Email,Meeting,Email,Email,Email"
001E000001gWP0AIAW,US,MRS,Won,46,Email → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → ... → Inbound Call → Email → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call,Email → Inbound Call → Inbound Call → Inbound Call → Inbound Call,Email → Inbound Call → Inbound Call,"Email,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Email,Review,Email,Email,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Follow Up,Meeting,Inbound Call,Inbound Call,Email,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call"
001E000001gWP4qIAG,US,MRS,Ongoing,1,Inbound Call,Inbound Call,Inbound Call,Inbound Call
001E000001gWP65IAG,US,MRS,Lost,11,On-Site → Email → Email → Email → Email → Email → On-Site → Email → Inbound Call → Email → Email,On-Site → Email → Email → Email → Email,On-Site → Email → Email,"On-Site,Email,Email,Email,Email,Email,On-Site,Email,Inbound Call,Email,Email"
001E000001gWP7BIAW,US,Digital,Ongoing,6,Inbound Call → Inbound Call → Email → Email → Email → Email,Inbound Call → Inbound Call → Email → Email → Email,Inbound Call → Inbound Call → Email,"Inbound Call,Inbound Call,Email,Email,Email,Email"
001E000001gWP7PIAW,US,MRS,Won,40,Meeting → Meeting → Follow Up → Email → Email → Follow Up → Inbound Call → Review → Review → Meeting → ... → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Follow Up → Inbound Call → Inbound Call → Inbound Call → Email → Inbound Call,Meeting → Meeting → Follow Up → Email → Email,Meeting → Meeting → Follow Up,"Meeting,Meeting,Follow Up,Email,Email,Follow Up,Inbound Call,Review,Review,Meeting,Meeting,Meeting,Meeting,Email,Email,Inbound Call,Email,Review,Email,Inbound Call,Inbound Call,Email,Email,Email,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Follow Up,Inbound Call,Inbound Call,Inbound Call,Email,Inbound Call"
001E000001gWP8yIAG,US,MRS,Lost,1,Meeting,Meeting,Meeting,Meeting
001E000001gWP9wIAG,US,MRS,Ongoing,17,Meeting → Review → Meeting → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call,Meeting → Review → Meeting → Inbound Call → Inbound Call,Meeting → Review → Meeting,"Meeting,Review,Meeting,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call"
